Address,Area,Year,Number Of Room,Price,Price per meter,Floor,Elevator,Parking,Warehouse
ایرانشهر,177,1399,3,8500000000,48023000,2,1,1,1
جیحون,98,1400,2,2300000000,23469000,5,1,1,1
قیطریه,115,1398,2,8800000000,76522000,4,1,1,1
جردن,120,1379,2,7200000000,60000000,2,1,1,1
جردن,153,1385,2,10000000000,65359000,2,1,1,1
خلیج فارس,71,1395,2,1207000000,17000000,2,1,1,1
جنت‌آباد مرکزی,90,1394,2,3200000000,35556000,4,1,1,1
پیروزی,50,1385,1,850000000,17000000,2,1,1,1
هروی,121,1388,3,7000000000,57851000,5,1,1,1
بریانک,95,1380,2,1320000000,13895000,4,1,0,1
اندیشه,48,1396,1,445000000,9271000,3,0,1,1
شهرک کیانشهر,72,1389,2,1150000000,15972000,2,0,1,1
یوسف‌آباد,107,1380,2,4000000000,37383000,3,1,1,1
حکیمیه,68,1396,2,2200000000,32353000,3,1,1,1
اندیشه,78,1399,2,975000000,12500000,7,1,1,1
شهران شمالی,78,1383,2,2100000000,26923000,3,0,1,1
دریاچه شهدای خلیج فارس,124,1400,2,2800000000,22581000,16,1,1,1
کامرانیه,230,1381,3,25000000000,108696000,1,1,1,1
شمس‌آباد,115,1389,3,5150000000,44783000,4,1,1,1
چیتگر,112,1400,2,2700000000,24107000,7,1,1,1
شهرک کیانشهر,79,1388,2,1250000000,15823000,5,1,0,0
دروس,115,1384,2,6100000000,53043000,4,1,1,1
فلاح,35,1388,1,535000000,15286000,2,0,0,1
باغ فیض,202,1383,3,7500000000,37129000,2,1,1,1
پونک,53,1384,2,1990000000,37547000,3,1,1,1
الهیه,320,1380,4,32000000000,100000000,8,1,1,1
سعادت‌آباد,100,1387,2,6400000000,64000000,3,1,1,1
زعفرانیه,240,1385,3,24000000000,100000000,3,1,1,1
جردن,127,1372,2,6500000000,51181000,2,0,1,1
چیتگر,100,1400,2,1000000000,10000000,18,1,1,1
کوی فردوس,104,1396,2,4160000000,40000000,6,1,1,1
قرچک,60,1385,1,540000000,9000000,1,0,0,1
یافت‌آباد,47,1387,1,680000000,14468000,3,0,1,1
طرشت,78,1395,2,3080000000,39487000,2,1,1,1
پونک,78,1391,2,3600000000,46154000,2,1,1,1
استاد معین,59,1395,2,1420000000,24068000,4,1,0,1
شهرک ژاندارمری,66,1383,1,2700000000,40909000,2,0,0,0
ارم,120,1399,2,4200000000,35000000,1,1,1,1
ظفر,65,1393,1,4400000000,67692000,1,1,1,1
امیریه,47,1388,1,840000000,17872000,1,0,0,1
پاکدشت,87,1394,2,510000000,5862000,1,0,0,0
تهرانپارس غربی,85,1395,2,3200000000,37647000,2,1,0,1
مرزداران,140,1400,3,8400000000,60000000,4,1,1,1
فشم,120,1398,2,5500000000,45833000,4,1,1,1
افسریه,65,1386,2,920000000,14154000,3,0,0,1
خواجه نظام الملک,54,1385,1,1220000000,22593000,2,0,1,1
کوی فردوس,100,1383,2,2980000000,29800000,4,1,1,1
ظفر,70,1396,2,3700000000,52857000,4,1,0,1
دیلمان,65,1392,2,1360000000,20923000,1,1,0,1
خلیج فارس,126,1399,2,2300000000,18254000,2,1,1,0
نظام‌آباد,105,1370,3,1800000000,17143000,4,0,1,1
کوی فردوس,108,1400,2,5100000000,47222000,4,1,1,1
